area;spot_id;length;hillyness;no_bobil_nor_caravan;end_row;not_spot;no_bobil;reserved;length_norm
Egelandsletta;B20;8.5;;;;;;;0.5625
Egelandsletta;B21;8.5;;;1;;;;0.5625
Egelandsletta;C1;8;;;;;1;;0.5
Egelandsletta;C2;8;;;;;1;;0.5
Egelandsletta;C3;8;;;;;1;;0.5
Egelandsletta;C4;8;;;;;1;;0.5
Egelandsletta;C5;8;;;;;1;;0.5
Egelandsletta;C6;8;;;;;1;;0.5
Egelandsletta;C7;8;;;;;1;;0.5
Egelandsletta;C8;8;;;;;1;;0.5
Egelandsletta;C9;8;;;;;1;;0.5
Egelandsletta;C10;10;;;;;1;;0.75
Egelandsletta;C11;10;;;;;1;;0.75
Egelandsletta;C12;10;;;;;1;;0.75
Egelandsletta;C13;10;;;;;1;;0.75
Egelandsletta;C14;10;;;;;1;;0.75
Egelandsletta;C15;10;;;;;1;;0.75
Egelandsletta;C16;10;;;;;1;;0.75
Egelandsletta;C17;10;;;;;1;;0.75
Egelandsletta;C18;8;;;;;1;;0.5
Egelandsletta;C19;8;;;;;1;;0.5
Egelandsletta;C20;8;;;1;;1;;0.5
Egelandsletta;C21;8;0.4;;;;1;;0.5
Egelandsletta;C22;8;0.4;;;;1;;0.5
Egelandsletta;C23;8;0.4;;;;1;;0.5
Egelandsletta;C24;8;0.2;;;;1;;0.5
Egelandsletta;C25;8;0.2;;;;1;;0.5
Egelandsletta;C26;8;0.2;;;;1;;0.5
Egelandsletta;C27;8;;;;;1;;0.5
Egelandsletta;C28;8;;;;;1;;0.5
Egelandsletta;C29;8;;;;;1;;0.5
Egelandsletta;C30;8;;;;;;;0.5
Egelandsletta;C31;8;;;;;;;0.5
Egelandsletta;C32;8;;;;;;;0.5
Egelandsletta;C33;8;;;;;;;0.5
Egelandsletta;C34;8;;;;;;;0.5
Egelandsletta;C35;8;;;1;;;;0.5
Egelandsletta;D1;9;;;;;1;;0.625
Egelandsletta;D2;9;;;;;1;;0.625
Egelandsletta;D3;9;;;;;1;;0.625
Egelandsletta;D4;9;;;;;1;;0.625
Egelandsletta;D5;9;;;;;1;;0.625
Egelandsletta;D6;9;;;;;1;;0.625
Egelandsletta;D7;9;;;;;1;;0.625
Egelandsletta;D8;9;;;;;1;;0.625
Egelandsletta;D9;9;;;;;1;;0.625
Egelandsletta;D10;10;;;;;1;;0.75
Egelandsletta;D11;10;;;;;1;;0.75
Egelandsletta;D12;10;;;;;1;;0.75
Egelandsletta;D13;10;;;;;1;;0.75
Egelandsletta;D14;10;;;;;1;;0.75
Egelandsletta;D15;10;;;;;1;;0.75
Egelandsletta;D16;10;;;;;1;;0.75
Egelandsletta;D17;10;;;;;1;;0.75
Egelandsletta;D18;10;;;;;1;;0.75
Egelandsletta;D19;10;;;;;1;;0.75
Egelandsletta;D20;10;;;;;1;;0.75
Egelandsletta;D21;10;;;;;1;;0.75
Egelandsletta;D22;8;;;;;1;;0.5
Egelandsletta;D23;8;;;;;1;;0.5
Egelandsletta;D24;8;;;;;1;;0.5
Egelandsletta;D25;8;;;;;1;;0.5
Egelandsletta;D26;8;;;;;1;;0.5
Egelandsletta;D27;8;0.2;;;;1;;0.5
Egelandsletta;D28;8;0.2;1;;;1;;0.5
Egelandsletta;D29;8;0.2;1;1;;1;;0.5
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Egelandsletta;E1;7.5;0.4;;;;1;;0.4375
Egelandsletta;E2;7.5;0.4;;;;1;;0.4375
Egelandsletta;E3;7.5;0.4;;;;1;;0.4375
Egelandsletta;E4;7.5;0.4;;;;1;;0.4375
Egelandsletta;E5;7.5;0.4;;;;1;;0.4375
Egelandsletta;E6;7.5;0.4;;;;1;;0.4375
Egelandsletta;E7;7.5;0.4;;;;1;;0.4375
Egelandsletta;E8;7.5;0.4;;;;1;;0.4375
Egelandsletta;E9;7.5;0.4;;;;1;;0.4375
Egelandsletta;E10;7.5;0.4;;1;;1;;0.4375
Egelandsletta;E11;8;0.6;;;;1;;0.5
Egelandsletta;E12;8;0.6;;;;1;;0.5
Egelandsletta;E13;8;0.6;;;;1;;0.5
Egelandsletta;E14;8;0.6;;;;1;;0.5
Egelandsletta;E15;8;0.6;;;;1;;0.5
Egelandsletta;E16;8;0.6;;;;1;;0.5
Egelandsletta;E17;8;0.6;;;;1;;0.5
Egelandsletta;E18;8;0.6;;;;1;;0.5
Egelandsletta;E19;8;0.6;;1;;1;;0.5
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Egelandsletta;F1;8;;;;;1;;0.5
Egelandsletta;F2;8;;;;;1;;0.5
Egelandsletta;F3;8;;;;;1;;0.5
Egelandsletta;F4;8;;;;;1;;0.5
Egelandsletta;F5;8;;;;;1;;0.5
Egelandsletta;F6;8;;;;;1;;0.5
Egelandsletta;F7;8;;;;;1;;0.5
Egelandsletta;F8;8;;;;;1;;0.5
Egelandsletta;F9;8;;;;;1;;0.5
Egelandsletta;F10;8;0.4;;;;1;;0.5
Egelandsletta;F11;8;0.4;;;;1;;0.5
Egelandsletta;F12;8;0.4;;;;1;;0.5
Egelandsletta;F13;8;0.4;;;;1;;0.5
Egelandsletta;F14;8;0.4;;;;1;;0.5
Vårdalen;A1;12;;;;;;;1
Vårdalen;A2;12;;;;;;;1
Vårdalen;A3;12;;;;;;;1
Vårdalen;A4;12;;;;;;;1
Vårdalen;A5;12;;;;;;;1
Vårdalen;A6;12;;;;;;;1
Vårdalen;A7;12;;;;;;;1
Vårdalen;A8;12;;;;;;;1
Vårdalen;A9;12;;;;;;;1
Vårdalen;A10;12;;;;;;;1
Vårdalen;A11;12;;;;;;;1
Vårdalen;A12;12;;;;;;;1
Vårdalen;A13;12;;;;;;;1
Vårdalen;A14;12;;;;;;;1
Vårdalen;A15;12;;;;;;;1
Vårdalen;A16;12;;;;;;;1
Vårdalen;A17;12;;;;;;;1
Vårdalen;A18;12;;;;;;;1
Vårdalen;A19;12;;;;;;;1
Vårdalen;A20;12;;;;;;;1
Vårdalen;A21;12;;;;;;;1
Vårdalen;A22;8;;1;;;;;0.5
Vårdalen;A23;8;;1;1;;;;0.5
Vårdalen;B1;6.7;;;;;;;0.3375
Vårdalen;B2;6.7;;;;;;;0.3375
Vårdalen;B3;6.7;;;;;;;0.3375
Vårdalen;B4;6.5;;;;;;;0.3125
Vårdalen;B5;6.5;;;;;;;0.3125
Vårdalen;B6;6.5;;;;;;;0.3125
Vårdalen;B7;7;;;;;;;0.375
Vårdalen;B8;7;;;;;;;0.375
Vårdalen;B9;7;;;;;;;0.375
